文件名	原始清晰度	增强后清晰度	原始对比度	增强后对比度	原始熵	增强后熵
1.jpg	100.7463	104.4819	41.4229	38.4289	7.3219	7.0373
2.jpg	560.6680	754.6699	48.2935	44.8620	7.4679	7.1834
3.jpg	15.5121	16.4709	50.5645	41.4933	7.3586	6.2797
5.jpg	3957.3677	2327.8213	94.5641	70.5023	5.8464	3.9638
6.jpg	503.1130	258.7454	56.6044	44.9928	7.1535	6.8392
4.jpg	205.5504	256.2996	59.8370	58.7285	7.6519	7.2393
4.jpg	205.5504	256.2996	59.8370	58.7285	7.6519	7.2393
4.jpg	205.5504	256.2996	59.8370	58.7285	7.6519	7.2393
1.jpg	100.7463	104.4819	41.4229	38.4289	7.3219	7.0373
7.jpg	91.9630	464.7458	10.5252	10.8414	5.4034	3.6950
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373    （尺寸为15的局部对比度）（自此以后对比度都采用局部对比度）
7.jpg	91.9630	464.7458	6.6250	5.0195	5.4034	3.6950
1.jpg	100.7463	96.0269	9.6719	9.8906	7.3219	6.7157         (opencv的BGR图像格式未转换成PIL的RGB格式导致的)
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373
4.jpg	205.5504	256.2996	9.9766	9.2422	7.6519	7.2393
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373
1.jpg	100.7463	559.7728	9.6719	10.5547	7.3219	7.8408    （CLAHE）
7.jpg	91.9630	464.7458	6.6250	5.0195	5.4034	3.6950
7.jpg	91.9630	1327.6008	6.6250	10.5391	5.4034	6.5150      （CLAHE）
3.jpg	15.5121	16.4709	9.9922	8.0938	7.3586	6.2797
3.jpg	15.5121	200.8826	9.9922	10.1328	7.3586	7.6131    （CLAHE）
3.jpg	15.5121	16.4709	9.9922	8.0938	7.3586	6.2797	16.4992  (add PSNR)
7.jpg	91.9630	464.7458	6.6250	5.0195	5.4034	3.6950	6.8592	0.0702  (add PSNR and SSIM)
7.jpg	91.9630	1327.6008	6.6250	10.5391	5.4034	6.5150	21.5593	0.5445
使用高斯滤波、CLAHE、github大佬手搓的CLAHE的对比效果（最后两项是PSNR和SSIM）
1.jpg	100.7463	104.4819	9.6719	10.1250	7.3219	7.0373	15.6826	0.7578
1.jpg	100.7463	100.7463	9.6719	9.6719	7.3219	7.3219	361.2020	1.0000
1.jpg	100.7463	559.7728	9.6719	10.5547	7.3219	7.8408	14.2915	0.6924
3.jpg	15.5121	16.4709	9.9922	8.0938	7.3586	6.2797	16.4992	0.5309
3.jpg	15.5121	40.0485	9.9922	10.1328	7.3586	7.3668	23.3412	0.9021
3.jpg	15.5121	200.8826	9.9922	10.1328	7.3586	7.6131	12.1625	0.5172
7.jpg	91.9630	464.7458	6.6250	5.0195	5.4034	3.6950	6.8592	0.0689
7.jpg	91.9630	176.2199	6.6250	7.4609	5.4034	5.5485	26.2780	0.9638
7.jpg	91.9630	1327.6008	6.6250	10.5391	5.4034	6.5150	21.5593	0.5116
8.png	151.3003	153.8891	7.9688	7.9648	6.3609	6.3911	50.7295	0.9994
DSC_0013_JPG.rf.88e38cb3ecca691b2169927673433e1a.jpg	35.7799	76.9862	8.8438	6.2812	6.2042	4.3999	8.0874	0.1144
DSC_0013_JPG.rf.88e38cb3ecca691b2169927673433e1a.jpg	35.7799	111.7752	8.8438	9.3828	6.2042	6.2057	32.4189	0.9426
DSC_0012_JPG.rf.cb1beee9b171a6926283e217474da1d5.jpg	54.0437	270.6505	8.0859	9.1250	6.2675	6.3815	29.4895	0.8799
DSC_0012_JPG.rf.cb1beee9b171a6926283e217474da1d5.jpg	54.0437	169.3144	8.0859	8.7500	6.2675	6.3324	33.1987	0.9424
DSC_0012_JPG.rf.cb1beee9b171a6926283e217474da1d5.jpg	54.0437	232.9619	8.0859	9.0938	6.2675	6.3583	30.4982	0.9022
